Metric,Value
Runs,50.0
Sample Fraction,0.8
Sample Size,3470.0
Mean ARI,0.9540805306097933
Median ARI,0.9594039285983336
Minimum ARI,0.9010772956669918
Maximum ARI,0.9828980614128793
ARI Standard Deviation,0.021180213249894088
